experiment_id	date	commit	track	hypothesis	metric_name	metric_value	baseline_value	relative_delta	direction	status	artifact_path	notes
BASELINE_27B_B4	2026-04-29	4429cd2	P-6.0.5	dense 27B-4bit B=4 warm-decode aggregate (primary metric anchor)	decode_tok_s	42.17	42.17	0.000	higher	diagnostic	plans/P6_0_5_BASELINE/qwen3.5-27b-warm-decode-b4.jsonl	2-run mean (41.97 / 42.38); σ=0.21 tok/s; 52% util on corrected 15.13 GB weight anchor; running-best line starts here
BASELINE_27B_B1	2026-04-27	v1.7.13	P-6.0	dense 27B-4bit B=1 warm-decode (corrected anchor)	decode_tok_s	16.05	16.05	0.000	higher	diagnostic	plans/P6_0_BASELINE/qwen3.5-27b-warm-decode-b1.jsonl	v1.7.13 P-6.0; 79.1% util on corrected 15.13 GB weight anchor; B=1 ceiling 20.29 tok/s
P605_VERIFY_K_8	2026-04-29	v1.7.17	P-6.0.5 Unit 7	verify-k zero-drafter ceiling (linear k=8 perfect drafter, dense 27B-4bit)	verify_speedup_ceiling	2.93	1.00	1.930	higher	diagnostic	plans/P6_0_5_BASELINE/target_verify_microbench.jsonl	target-side ceiling; constrains C.4/C.5 upper-band claims; sweet spot k=4
C4_DFLASH_RETIRE	2026-05-01	v1.7.20	D-021 step 6	C.4 DFlash drafter-only spike against 4-bit Qwen3.5-27B target	decode_tok_s	7.74	16.05	-0.518	higher	discard	plans/P6_C4_DFLASH/dense_27b_run.jsonl	0.482x silica-integrated; α=0.0881; draft 35.7ms ≫ verify 2.45ms; rollback 165/cycle; gate FAIL
TRACK_B_3BIT_RETIRE	2026-05-01	v1.7.21	D-021 step 7	Track B native 3-bit weight quantisation (NexVeridian/Qwen3.5-27B-3bit)	delta_ppl_rel	0.1685	0.05	2.370	lower	discard	plans/P6_TRACK_B/ppl_3bit_run.jsonl	ΔPPL_rel +16.85% (gate ≤5%); ΔPPL_abs +1.16 (gate ≤0.5); both-pass FAIL; B.3 not run
TRACK_B_3BIT_MEM	2026-05-01	v1.7.21	D-021 step 7	Track B native 3-bit memory reduction (B.1 PASS)	peak_memory_gib	11.16	15.34	-0.272	lower	diagnostic	plans/P6_TRACK_B/b1_loader_smoke.txt	27.2% memory reduction; gate PASSED on memory but track retired on quality
C5_DDTREE_BETA1	2026-05-01	309af8c	D-021 step 8	C.5 DDTree spec-on at v1.7.19 (h) Qwen3.5-0.8B drafter pairing	decode_tok_s	6.54	16.05	-0.593	higher	discard	plans/P6_C5_DDTREE/spec_on_b1_alpha_probe.jsonl	0.408x; α=0.0908; draft 27.6ms ≫ verify 2.09ms; rollback 296/cycle; verify_k=4
C5_DDTREE_BETA2_COV16	2026-05-01	309af8c	D-021 step 8	C.5 top-b coverage on Qwen3.5-0.8B drafter against 4-bit 27B target (b=16)	coverage_at_16	0.2583	0.30	-0.139	higher	diagnostic	plans/P6_C5_DDTREE/coverage_probe.jsonl	teacher-forced WikiText-2; n=511 positions; in [0.15, 0.30) escalate band
C5_DDTREE_BETA2_COV32	2026-05-01	309af8c	D-021 step 8	C.5 top-b coverage at b=32 (outside pre-declared {4,8,16} window)	coverage_at_32	0.3405	0.30	0.135	higher	diagnostic	plans/P6_C5_DDTREE/coverage_probe.jsonl	signal exists but b=32 escape hatch; tree-verify cost at T=32 unproven
MOE_27B_B4	2026-04-29	v1.7.17	P-6.0.5 Unit 4	MoE Qwen3.5-35B-A3B B=4 aggregate (secondary metric)	moe_decode_tok_s	188.50	100.00	0.885	higher	diagnostic	plans/P6_0_5_BASELINE/qwen3.5-moe-35b-a3b-warm-decode-b4.jsonl	(2a) cleared by 88%; (2b) ≥175 cleared with 13.5 tok/s margin; cross-run σ uncharacterised
